"stationName","rDateTime","Tpanel","Tpanel_qc","BattVolt_Avg","BattVolt_Avg_qc","Rn_Avg","Rn_Avg_cal","Rn_Avg_qc","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf","Rn_Avg_gf_mm","Rn_Avg_gf_count","Tc0_Avg","Tc0_Avg_qc","Tc0m5sq_Avg","Tc0m5sq_Avg_qc","Tc0m5cu_Avg","Tc0m5cu_Avg_qc","Tc0m5fi_Avg","Tc0m5fi_Avg_qc","Tc_H","Tc_H_qc","Tc_H_qc_mm","Tc_H_gf","Tc_H_gf_mm","Tc_alpha_pos","Tc_alpha_neg","Tc_aH_qc","Tc_aH_gf","Tc_aH_qc_mm","Tc_aH_gf_mm","Tc_aH_qc_count","Tc_aH_gf_count","Tn0_Avg","Tn0_Avg_qc","Tn0m5sq_Avg","Tn0m5sq_Avg_qc","Tn0m5cu_Avg","Tn0m5cu_Avg_qc","Tn0m5fi_Avg","Tn0m5fi_Avg_qc","Tn_H","Tn_H_qc","Tn_H_qc_mm","Tn_H_gf","Tn_H_gf_mm","Tn_alpha_pos","Tn_alpha_neg","Tn_aH_qc","Tn_aH_gf","Tn_aH_qc_mm","Tn_aH_gf_mm","Tn_aH_qc_count","Tn_aH_gf_count","SR_H_qc","SR_H_gf","SR_alpha_pos","SR_alpha_neg","SR_aH_qc","SR_aH_qc_mm","SR_aH_gf","SR_aH_gf_mm","SR_aH_qc_count","SR_aH_gf_count","PA_uS_1","PA_uS_1_qc","PA_uS_2","PA_uS_2_qc","VW_1","VW_1_qc","VW_2","VW_2_qc"
"D06_Holland_Corn",2016-07-13 13:30:00,34.93,34.93,13.01,13.01,677.7,677.7,677.7,0.497902083138,1,677.7,0.497902083138,1,30.803,30.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,0.293,NA,NA,NA,NA,0,0,30.82547,30.82547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,0.293,NA,NA,NA,NA,0,0,NA,NA,0.746,0.293,NA,NA,NA,NA,0,0,26.8,26.8,25.15,25.15,0.268,0.268,0.218,0.218
"D06_Holland_Corn",2016-07-13 14:00:00,34.69,34.69,13.04,13.04,675.7,675.7,675.7,0.496432695258,1,675.7,0.496432695258,1,31.14215,31.14215,0.01459161,0.01459161,0.0004267607,0.0004267607,1.018967e-06,1.018967e-06,NA,NA,NA,NA,NA,0.746,0.293,NA,NA,NA,NA,0,0,31.16826,31.16826,0.01544662,0.01544662,0.0005629147,0.0005629147,-1.012258e-05,-1.012258e-05,NA,NA,NA,NA,NA,0.746,0.293,NA,NA,NA,NA,0,0,NA,NA,0.746,0.293,NA,NA,NA,NA,0,0,26.79,26.79,25.15,25.15,0.267,0.267,0.218,0.218
"D06_Holland_Corn",2016-07-13 14:30:00,35.04,35.04,13.02,13.02,661,661,661,0.48563269434,1,661,0.48563269434,1,31.68535,31.68535,0.02162407,0.02162407,0.001611693,0.001611693,0.0006917953,0.0006917953,-71.0944759146902,-71.0944759146902,-0.0522326806219989,-71.0944759146902,-0.0522326806219989,0.746,0.293,-20.8306814430042,-20.8306814430042,-0.0153041754222457,-0.0153041754222457,1,1,31.70963,31.70963,0.02326556,0.02326556,0.001159097,0.001159097,-0.0006713065,-0.0006713065,-34.3293893256804,-34.3293893256804,-0.0252215943014781,-34.3293893256804,-0.0252215943014781,0.746,0.293,-10.0585110724243,-10.0585110724243,-0.00738992713033307,-0.00738992713033307,1,1,-52.7119326201853,-52.7119326201853,0.746,0.293,-15.4445962577143,-0.0113470512762894,-15.4445962577143,-0.0113470512762894,1,1,26.76,26.76,25.15,25.15,0.266,0.266,0.218,0.218
"D06_Holland_Corn",2016-07-13 15:00:00,35.4,35.4,13,13,618,618,618,0.45404085492,1,618,0.45404085492,1,32.14293,32.14293,0.03137208,0.03137208,0.003581473,0.003581473,0.002072557,0.002072557,-118.421715469748,-118.421715469748,-0.0870037167200282,-118.421715469748,-0.0870037167200282,0.746,0.293,-34.6975626326362,-34.6975626326362,-0.0254920889989683,-0.0254920889989683,1,1,32.16095,32.16095,0.0340202,0.0340202,0.003903576,0.003903576,0.002868599,0.002868599,-93.3926427219963,-93.3926427219963,-0.0686150086484358,-93.3926427219963,-0.0686150086484358,0.746,0.293,-27.3640443175449,-27.3640443175449,-0.0201041975339917,-0.0201041975339917,1,1,-105.907179095872,-105.907179095872,0.746,0.293,-31.0308034750905,-0.02279814326648,-31.0308034750905,-0.02279814326648,1,1,26.75,26.75,25.13,25.13,0.266,0.266,0.218,0.218
"D06_Holland_Corn",2016-07-13 15:30:00,35.2,35.2,13.01,13.01,571.3,571.3,571.3,0.419730647922,1,571.3,0.419730647922,1,32.48022,32.48022,0.05815226,0.05815226,0.009503842,0.009503842,0.007783259,0.007783259,-264.138123895096,-264.138123895096,-0.194060678948696,-264.138123895096,-0.194060678948696,0.746,0.293,-77.392470301263,-77.392470301263,-0.0568597789319679,-0.0568597789319679,1,1,32.50395,32.50395,0.06234052,0.06234052,0.01191013,0.01191013,0.01191405,0.01191405,-239.256917845413,-239.256917845413,-0.175780607644103,-239.256917845413,-0.175780607644103,0.746,0.293,-70.1022769287061,-70.1022769287061,-0.0515037180397222,-0.0515037180397222,1,1,-251.697520870254,-251.697520870254,0.746,0.293,-73.7473736149846,-0.0541817484858451,-73.7473736149846,-0.0541817484858451,1,1,26.75,26.75,25.13,25.13,0.266,0.266,0.218,0.218
"D06_Holland_Corn",2016-07-13 16:00:00,34.65,34.65,12.99,12.99,506.7,506.7,506.7,0.372269419398,1,506.7,0.372269419398,1,32.58982,32.58982,0.08980483,0.08980483,0.0218519,0.0218519,0.03034117,0.03034117,-318.175755605567,-318.175755605567,-0.233761799498331,-318.175755605567,-0.233761799498331,0.746,0.293,-93.2254963924312,-93.2254963924312,-0.068492207253011,-0.068492207253011,1,1,32.60619,32.60619,0.09503087,0.09503087,0.02054657,0.02054657,0.02507489,0.02507489,-406.283431498665,-406.283431498665,-0.298493975044474,-406.283431498665,-0.298493975044474,0.746,0.293,-119.041045429109,-119.041045429109,-0.087458734688031,-0.087458734688031,1,1,-362.229593552116,-362.229593552116,0.746,0.293,-106.13327091077,-0.077975470970521,-106.13327091077,-0.077975470970521,1,1,26.73,26.73,25.13,25.13,0.266,0.266,0.218,0.218
"D06_Holland_Corn",2016-07-13 16:30:00,34,34,12.99,12.99,440.6,440.6,440.6,0.323706149964,1,440.6,0.323706149964,1,32.59533,32.59533,0.08448368,0.08448368,0.02447566,0.02447566,0.04403764,0.04403764,-224.692188529661,-224.692188529661,-0.165079989278079,-224.692188529661,-0.165079989278079,0.746,0.293,-65.8348112391906,-65.8348112391906,-0.0483684368584772,-0.0483684368584772,1,1,32.59324,32.59324,0.08881427,0.08881427,0.02815673,0.02815673,0.0550127,0.0550127,-232.513547146395,-232.513547146395,-0.170826294056361,-232.513547146395,-0.170826294056361,0.746,0.293,-68.1264693138939,-68.1264693138939,-0.0500521041585138,-0.0500521041585138,1,1,-228.602867838028,-228.602867838028,0.746,0.293,-66.9806402765422,-0.0492102705084955,-66.9806402765422,-0.0492102705084955,1,1,26.71,26.71,25.13,25.13,0.265,0.265,0.218,0.218
"D06_Holland_Corn",2016-07-13 17:00:00,33.43,33.43,12.96,12.96,373.2,373.2,373.2,0.274187778408,1,373.2,0.274187778408,1,32.41291,32.41291,0.07204781,0.07204781,0.01428371,0.01428371,0.01665755,0.01665755,-247.035759457075,-247.035759457075,-0.18149567543641,-247.035759457075,-0.18149567543641,0.746,0.293,-72.3814775209228,-72.3814775209228,-0.0531782329028682,-0.0531782329028682,1,1,32.41944,32.41944,0.07452291,0.07452291,0.0150224,0.0150224,0.019503,0.019503,-223.185730288852,-223.185730288852,-0.163973203537694,-223.185730288852,-0.163973203537694,0.746,0.293,-65.3934189746335,-65.3934189746335,-0.0480441486365443,-0.0480441486365443,1,1,-235.110744872963,-235.110744872963,0.746,0.293,-68.8874482477782,-0.0506111907697063,-68.8874482477782,-0.0506111907697063,1,1,26.72,26.72,25.13,25.13,0.265,0.265,0.218,0.218
"D06_Holland_Corn",2016-07-13 17:30:00,32.73,32.73,13.05,13.05,306.4,306.4,306.4,0.225110223216,1,306.4,0.225110223216,1,32.69607,32.69607,0.1065609,0.1065609,0.03617083,0.03617083,0.09621907,0.09621907,-210.642008729604,-210.642008729604,-0.154757407323067,-210.642008729604,-0.154757407323067,0.746,0.293,-61.7181085577738,-61.7181085577738,-0.0453439203456586,-0.0453439203456586,1,1,32.66182,32.66182,0.1076332,0.1076332,0.03699915,0.03699915,0.08661896,0.08661896,-256.716554549195,-256.716554549195,-0.188608096924973,-256.716554549195,-0.188608096924973,0.746,0.293,-75.2179504829141,-75.2179504829141,-0.0552621723990171,-0.0552621723990171,1,1,-233.679281639399,-233.679281639399,0.746,0.293,-68.468029520344,-0.0503030463723378,-68.468029520344,-0.0503030463723378,1,1,26.71,26.71,25.13,25.13,0.265,0.265,0.217,0.217
"D06_Holland_Corn",2016-07-13 18:00:00,31.86,31.86,13.09,13.09,244.5,244.5,244.5,0.17963266833,1,244.5,0.17963266833,1,32.57648,32.57648,0.1452817,0.1452817,0.04869561,0.04869561,0.1257198,0.1257198,-346.180007597191,-346.180007597191,-0.25433635373081,-346.180007597191,-0.25433635373081,0.746,0.293,-101.430742225977,-101.430742225977,-0.0745205516431274,-0.0745205516431274,1,1,32.55041,32.55041,0.1382284,0.1382284,0.04178621,0.04178621,0.09695202,0.09695202,-347.093049110585,-347.093049110585,-0.255007159797669,-347.093049110585,-0.255007159797669,0.746,0.293,-101.698263389401,-101.698263389401,-0.0747170978207171,-0.0747170978207171,1,1,-346.636528353888,-346.636528353888,0.746,0.293,-101.564502807689,-0.0746188247319223,-101.564502807689,-0.0746188247319223,1,1,26.69,26.69,25.13,25.13,0.265,0.265,0.217,0.217
