"stationName","rDateTime","Tpanel","Tpanel_qc","BattVolt_Avg","BattVolt_Avg_qc","Rn_Avg","Rn_Avg_cal","Rn_Avg_qc","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf","Rn_Avg_gf_mm","Rn_Avg_gf_count","Tc0_Avg","Tc0_Avg_qc","Tc0m5sq_Avg","Tc0m5sq_Avg_qc","Tc0m5cu_Avg","Tc0m5cu_Avg_qc","Tc0m5fi_Avg","Tc0m5fi_Avg_qc","Tc_H","Tc_H_qc","Tc_H_qc_mm","Tc_H_gf","Tc_H_gf_mm","Tc_alpha_pos","Tc_alpha_neg","Tc_aH_qc","Tc_aH_gf","Tc_aH_qc_mm","Tc_aH_gf_mm","Tc_aH_qc_count","Tc_aH_gf_count","Tn0_Avg","Tn0_Avg_qc","Tn0m5sq_Avg","Tn0m5sq_Avg_qc","Tn0m5cu_Avg","Tn0m5cu_Avg_qc","Tn0m5fi_Avg","Tn0m5fi_Avg_qc","Tn_H","Tn_H_qc","Tn_H_qc_mm","Tn_H_gf","Tn_H_gf_mm","Tn_alpha_pos","Tn_alpha_neg","Tn_aH_qc","Tn_aH_gf","Tn_aH_qc_mm","Tn_aH_gf_mm","Tn_aH_qc_count","Tn_aH_gf_count","SR_H_qc","SR_H_gf","SR_alpha_pos","SR_alpha_neg","SR_aH_qc","SR_aH_qc_mm","SR_aH_gf","SR_aH_gf_mm","SR_aH_qc_count","SR_aH_gf_count","PA_uS_1","PA_uS_1_qc","PA_uS_2","PA_uS_2_qc","VW_1","VW_1_qc","VW_2","VW_2_qc"
"D14_Twitchell_Alfalfa",2016-08-10 11:00:00,26.62,26.62,13.39,13.39,400.6,400.6,400.6,0.294318392364,1,400.6,0.294318392364,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 11:30:00,27.5,27.5,13.39,13.39,432.1,432.1,432.1,0.317461251474,1,432.1,0.317461251474,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 12:00:00,28.82,28.82,13.36,13.36,450.7,450.7,450.7,0.331126558758,1,450.7,0.331126558758,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 12:30:00,29.85,29.85,13.33,13.33,471.4,471.4,471.4,0.346334723316,1,471.4,0.346334723316,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,31.78868,31.78868,0.7079409,0.7079409,0.4603254,0.4603254,4.496648,4.496648,354.683097341191,354.683097341191,0.260583522237003,354.683097341191,0.260583522237003,0.789,0.562,279.8449638022,279.8449638022,0.205600399044995,0.205600399044995,1,1,354.683097341191,354.683097341191,0.789,0.562,279.8449638022,0.205600399044995,279.8449638022,0.205600399044995,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 13:00:00,30.64,30.64,13.31,13.31,489.1,489.1,489.1,0.359338806054,1,489.1,0.359338806054,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,32.83908,32.83908,0.7076318,0.7076318,0.4883516,0.4883516,5.027503,5.027503,338.085984749819,338.085984749819,0.248389724194624,338.085984749819,0.248389724194624,0.789,0.562,266.749841967607,266.749841967607,0.195979492389559,0.195979492389559,1,1,338.085984749819,338.085984749819,0.789,0.562,266.749841967607,0.195979492389559,266.749841967607,0.195979492389559,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 13:30:00,31.19,31.19,13.3,13.3,492,492,492,0.36146941848,1,492,0.36146941848,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,33.8313,33.8313,0.7278008,0.7278008,0.4435248,0.4435248,4.577666,4.577666,326.064757892617,326.064757892617,0.239557801671273,326.064757892617,0.239557801671273,0.789,0.562,257.265093977275,257.265093977275,0.189011105518634,0.189011105518634,1,1,326.064757892617,326.064757892617,0.789,0.562,257.265093977275,0.189011105518634,257.265093977275,0.189011105518634,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 14:00:00,31.79,31.79,13.29,13.29,481.9,481.9,481.9,0.354049009686,1,481.9,0.354049009686,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,35.40105,35.40105,0.666078,0.666078,0.4458615,0.4458615,4.530037,4.530037,303.985494365659,303.985494365659,0.223336300558354,303.985494365659,0.223336300558354,0.789,0.562,239.844555054505,239.844555054505,0.176212341140541,0.176212341140541,1,1,303.985494365659,303.985494365659,0.789,0.562,239.844555054505,0.176212341140541,239.844555054505,0.176212341140541,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 14:30:00,32.7,32.7,13.25,13.25,468.9,468.9,468.9,0.344497988466,1,468.9,0.344497988466,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,34.80518,34.80518,0.6526514,0.6526514,0.4499261,0.4499261,5.015883,5.015883,259.554957725722,259.554957725722,0.190693454538044,259.554957725722,0.190693454538044,0.789,0.562,204.788861645594,204.788861645594,0.150457135630517,0.150457135630517,1,1,259.554957725722,259.554957725722,0.789,0.562,204.788861645594,0.150457135630517,204.788861645594,0.150457135630517,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 15:00:00,33.32,33.32,13.22,13.22,448.1,448.1,448.1,0.329216354514,1,448.1,0.329216354514,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,34.42513,34.42513,0.5856858,0.5856858,0.3432983,0.3432983,2.656382,2.656382,345.146942326251,345.146942326251,0.253577366936626,345.146942326251,0.253577366936626,0.789,0.562,272.320937495412,272.320937495412,0.200072542512998,0.200072542512998,1,1,345.146942326251,345.146942326251,0.789,0.562,272.320937495412,0.200072542512998,272.320937495412,0.200072542512998,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"D14_Twitchell_Alfalfa",2016-08-10 15:30:00,33.85,33.85,13.2,13.2,408.6,408.6,408.6,0.300195943884,1,408.6,0.300195943884,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.562,NA,NA,NA,NA,0,0,34.45096,34.45096,0.5843058,0.5843058,0.3224678,0.3224678,2.429015,2.429015,347.059342534917,347.059342534917,0.254982395780788,347.059342534917,0.254982395780788,0.789,0.562,273.82982126005,273.82982126005,0.201181110271042,0.201181110271042,1,1,347.059342534917,347.059342534917,0.789,0.562,273.82982126005,0.201181110271042,273.82982126005,0.201181110271042,1,1,NA,NA,NA,NA,NA,NA,NA,NA
